ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2024-08-09,14:50:00,512660.SS,Âô,-,17600.000,0.874,12.306
2024-08-09,14:50:00,511880.SS,Âô,-,200.000,101.095,16.175
2024-08-09,14:50:00,510880.SS,Âò,-,3400.000,3.048,8.291
2024-08-09,14:50:00,512800.SS,Âò,-,9600.000,1.259,9.669
2024-08-09,14:50:00,518880.SS,Âò,-,2100.000,5.398,9.069
2024-08-27,14:50:00,512800.SS,Âò,-,1300.000,1.335,5.000
2024-08-28,14:50:00,510880.SS,Âô,-,9100.000,3.035,22.095
2024-08-28,14:50:00,512800.SS,Âò,-,8900.000,1.322,9.413
2024-08-28,14:50:00,518880.SS,Âò,-,2600.000,5.525,11.492
2024-08-30,14:50:00,512800.SS,Âô,-,4500.000,1.253,5.000
2024-08-30,14:50:00,518880.SS,Âô,-,1400.000,5.525,6.188
2024-08-30,14:50:00,511880.SS,Âò,-,100.000,101.157,8.093
2024-09-04,14:50:00,511880.SS,Âô,-,100.000,101.187,8.095
2024-09-04,14:50:00,512800.SS,Âò,-,5700.000,1.230,5.609
2024-09-04,14:50:00,518880.SS,Âò,-,1200.000,5.465,5.246
2024-09-11,14:50:00,512800.SS,Âò,-,800.000,1.191,5.000
2024-09-18,14:50:00,512800.SS,Âô,-,5700.000,1.206,5.499
2024-09-18,14:50:00,518880.SS,Âô,-,1300.000,5.608,5.832
2024-09-18,14:50:00,511880.SS,Âò,-,100.000,101.222,8.098
2024-09-19,14:50:00,511880.SS,Âô,-,100.000,101.221,8.098
2024-09-19,14:50:00,512800.SS,Âò,-,5600.000,1.207,5.407
2024-09-19,14:50:00,518880.SS,Âò,-,1100.000,5.597,5.000
2024-09-24,14:50:00,512800.SS,Âô,-,6400.000,1.285,6.579
2024-09-24,14:50:00,518880.SS,Âô,-,1000.000,5.697,5.000
2024-09-24,14:50:00,511880.SS,Âò,-,100.000,101.237,8.099
2024-09-25,14:50:00,512800.SS,Âô,-,15500.000,1.312,16.269
2024-09-25,14:50:00,518880.SS,Âô,-,3500.000,5.746,16.089
2024-09-25,14:50:00,511880.SS,Âò,-,200.000,101.254,16.201
2024-09-25,14:50:00,512880.SS,Âò,-,18100.000,0.883,12.786
2024-09-26,14:50:00,511880.SS,Âô,-,300.000,101.247,24.299
2024-09-26,14:50:00,512800.SS,Âô,-,3100.000,1.356,5.000
2024-09-26,14:50:00,512880.SS,Âô,-,4600.000,0.936,5.000
2024-09-26,14:50:00,510300.SS,Âò,-,5600.000,3.625,16.240
2024-09-26,14:50:00,510880.SS,Âò,-,6400.000,3.182,16.292
2024-09-26,14:50:00,518880.SS,Âò,-,1000.000,5.744,5.000
2024-09-27,14:50:00,510300.SS,Âô,-,1100.000,3.845,5.000
2024-09-27,14:50:00,510880.SS,Âô,-,800.000,3.173,5.000
2024-09-27,14:50:00,512800.SS,Âô,-,1200.000,1.370,5.000
2024-09-27,14:50:00,512880.SS,Âô,-,2900.000,0.996,5.000
2024-09-27,14:50:00,518880.SS,Âô,-,500.000,5.702,5.000
2024-09-27,14:50:00,511880.SS,Âò,-,100.000,101.226,8.098
2024-09-30,14:50:00,510300.SS,Âô,-,500.000,4.195,5.000
2024-10-08,14:50:00,510880.SS,Âô,-,5600.000,3.382,15.151
2024-10-08,14:50:00,510300.SS,Âô,-,1100.000,4.362,5.000
2024-10-08,14:50:00,512800.SS,Âô,-,900.000,1.443,5.000
2024-10-08,14:50:00,512880.SS,Âô,-,3100.000,1.218,5.000
2024-10-08,14:50:00,518880.SS,Âô,-,900.000,5.707,5.000
2024-10-08,14:50:00,159915.SZ,Âò,-,2900.000,2.608,6.051
2024-10-08,14:50:00,511880.SS,Âò,-,300.000,101.298,24.312
2024-10-09,14:50:00,159915.SZ,Âò,-,500.000,2.256,5.000
2024-10-10,14:50:00,510300.SS,Âô,-,2900.000,4.087,9.482
2024-10-10,14:50:00,159915.SZ,Âô,-,3400.000,2.183,5.938
2024-10-10,14:50:00,512480.SS,Âò,-,11600.000,0.930,8.630
2024-10-10,14:50:00,512880.SS,Âò,-,1100.000,1.119,5.000
2024-10-10,14:50:00,588000.SS,Âò,-,7500.000,1.027,6.162
2024-10-11,14:50:00,588000.SS,Âô,-,7500.000,0.951,5.706
2024-10-11,14:50:00,512880.SS,Âô,-,1300.000,1.113,5.000
2024-10-11,14:50:00,510300.SS,Âò,-,2700.000,3.963,8.560
2024-10-14,14:50:00,512480.SS,Âô,-,2100.000,0.907,5.000
2024-10-16,14:50:00,518880.SS,Âô,-,200.000,5.876,5.000
2024-10-17,14:50:00,510300.SS,Âò,-,200.000,3.863,5.000
2024-10-21,14:50:00,510300.SS,Âô,-,2900.000,4.011,9.306
2024-10-21,14:50:00,512800.SS,Âò,-,1600.000,1.416,5.000
2024-10-21,14:50:00,588000.SS,Âò,-,6800.000,1.048,5.701
2024-10-22,14:50:00,588000.SS,Âô,-,6800.000,1.037,5.641
2024-10-22,14:50:00,159819.SZ,Âò,-,10200.000,0.889,7.254
2024-10-24,14:50:00,159819.SZ,Âô,-,10200.000,0.872,7.116
2024-10-24,14:50:00,510300.SS,Âò,-,2800.000,4.011,8.985
