ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2020-01-02,15:00:00,159915.SZ,Âò,-,6900.000,1.765,9.743
2020-01-02,15:00:00,510300.SS,Âò,-,4900.000,4.149,16.264
2020-01-02,15:00:00,512010.SS,Âò,-,7400.000,1.895,11.218
2020-01-02,15:00:00,512800.SS,Âò,-,16500.000,1.152,15.206
2020-01-02,15:00:00,518880.SS,Âò,-,6500.000,3.370,17.524
2020-01-03,15:00:00,512010.SS,Âò,-,500.000,1.887,5.000
2020-01-08,15:00:00,518880.SS,Âô,-,6500.000,3.531,18.361
2020-01-08,15:00:00,510300.SS,Âô,-,400.000,4.114,5.000
2020-01-08,15:00:00,512800.SS,Âô,-,2300.000,1.132,5.000
2020-01-08,15:00:00,511880.SS,Âò,-,200.000,100.176,16.028
2020-01-08,15:00:00,512100.SS,Âò,-,17400.000,0.741,10.315
2020-01-09,15:00:00,512800.SS,Âô,-,14200.000,1.138,12.928
2020-01-09,15:00:00,511880.SS,Âô,-,100.000,100.181,8.014
2020-01-09,15:00:00,510300.SS,Âò,-,500.000,4.158,5.000
2020-01-09,15:00:00,512010.SS,Âò,-,1300.000,1.919,5.000
2020-01-09,15:00:00,512100.SS,Âò,-,2400.000,0.751,5.000
2020-01-09,15:00:00,518880.SS,Âò,-,6500.000,3.408,17.722
2020-01-10,15:00:00,518880.SS,Âô,-,6500.000,3.418,17.774
2020-01-10,15:00:00,510300.SS,Âô,-,500.000,4.157,5.000
2020-01-10,15:00:00,512010.SS,Âô,-,1000.000,1.930,5.000
2020-01-10,15:00:00,510500.SS,Âò,-,2400.000,5.932,11.389
2020-01-10,15:00:00,511880.SS,Âò,-,100.000,100.201,8.016
2020-01-13,15:00:00,510500.SS,Âô,-,2400.000,6.031,11.580
2020-01-13,15:00:00,512100.SS,Âô,-,2400.000,0.760,5.000
