ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2022-06-01,15:00:00,511880.SS,Âò,-,900.000,100.900,72.648
2022-12-30,15:00:00,511880.SS,Âò,-,100.000,100.152,8.012
2023-03-29,15:00:00,511880.SS,Âô,-,200.000,100.493,16.079
2023-03-29,15:00:00,159819.SZ,Âò,-,3900.000,0.921,5.000
2023-03-29,15:00:00,510500.SS,Âò,-,1000.000,6.279,5.023
2023-03-29,15:00:00,512980.SS,Âò,-,4500.000,0.806,5.000
2023-03-29,15:00:00,518880.SS,Âò,-,1400.000,4.240,5.000
2023-03-29,15:00:00,562500.SS,Âò,-,1100.000,0.829,5.000
2023-03-30,15:00:00,562500.SS,Âô,-,1100.000,0.829,5.000
2023-03-30,15:00:00,518880.SS,Âô,-,1400.000,4.248,5.000
2023-03-30,15:00:00,512980.SS,Âô,-,4500.000,0.799,5.000
2023-03-30,15:00:00,159819.SZ,Âô,-,3900.000,0.910,5.000
2023-03-30,15:00:00,510500.SS,Âô,-,1000.000,6.312,5.050
2023-03-30,15:00:00,511880.SS,Âò,-,200.000,100.491,16.079
2023-03-31,15:00:00,511880.SS,Âô,-,200.000,100.488,16.078
2023-03-31,15:00:00,159819.SZ,Âò,-,3700.000,0.935,5.000
2023-03-31,15:00:00,510500.SS,Âò,-,900.000,6.359,5.000
2023-03-31,15:00:00,512980.SS,Âò,-,4200.000,0.846,5.000
2023-03-31,15:00:00,518880.SS,Âò,-,1400.000,4.281,5.000
2023-03-31,15:00:00,562500.SS,Âò,-,1800.000,0.843,5.000
2023-04-07,15:00:00,510500.SS,Âô,-,900.000,6.475,5.000
2023-04-07,15:00:00,512480.SS,Âò,-,4000.000,1.102,5.000
2023-04-07,15:00:00,562500.SS,Âò,-,1600.000,0.857,5.000
2023-04-10,15:00:00,512480.SS,Âô,-,4000.000,1.062,5.000
2023-04-10,15:00:00,510500.SS,Âò,-,600.000,6.432,5.000
2023-04-10,15:00:00,562500.SS,Âò,-,500.000,0.842,5.000
2023-04-12,15:00:00,510500.SS,Âô,-,600.000,6.453,5.000
2023-04-12,15:00:00,512480.SS,Âò,-,3600.000,1.074,5.000
2023-04-14,15:00:00,512480.SS,Âô,-,3600.000,1.085,5.000
2023-04-14,15:00:00,510500.SS,Âò,-,600.000,6.440,5.000
2023-04-17,15:00:00,510500.SS,Âô,-,600.000,6.472,5.000
2023-04-17,15:00:00,562500.SS,Âô,-,3900.000,0.829,5.000
2023-04-17,15:00:00,512480.SS,Âò,-,4200.000,1.074,5.000
2023-04-17,15:00:00,588000.SS,Âò,-,2200.000,1.186,5.000
2023-04-18,15:00:00,588000.SS,Âô,-,2200.000,1.172,5.000
2023-04-18,15:00:00,510500.SS,Âò,-,400.000,6.459,5.000
2023-04-20,15:00:00,510500.SS,Âô,-,400.000,6.422,5.000
2023-04-20,15:00:00,510880.SS,Âò,-,800.000,3.009,5.000
2023-04-21,15:00:00,511880.SS,Âô,-,200.000,100.646,16.103
2023-04-21,15:00:00,159819.SZ,Âò,-,3900.000,0.935,5.000
2023-04-21,15:00:00,510880.SS,Âò,-,2500.000,2.992,5.984
2023-04-21,15:00:00,512480.SS,Âò,-,2600.000,1.021,5.000
2023-04-21,15:00:00,512980.SS,Âò,-,2500.000,0.876,5.000
2023-04-21,15:00:00,518880.SS,Âò,-,900.000,4.288,5.000
2023-04-24,15:00:00,510880.SS,Âô,-,3300.000,2.987,7.886
2023-04-24,15:00:00,518880.SS,Âô,-,2300.000,4.277,7.870
2023-04-24,15:00:00,512980.SS,Âô,-,6700.000,0.909,5.000
2023-04-24,15:00:00,159819.SZ,Âô,-,7600.000,0.926,5.630
2023-04-24,15:00:00,512480.SS,Âô,-,6800.000,0.993,5.402
2023-04-24,15:00:00,511880.SS,Âò,-,300.000,100.645,24.155
2023-05-09,15:00:00,511880.SS,Âô,-,100.000,100.736,8.059
2023-05-09,15:00:00,159819.SZ,Âò,-,4100.000,0.872,5.000
