日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2024-06-03,15:30:00,511880.SS,100.831,900,多,100.912,90747.900,-72.630
2024-06-04,15:30:00,511880.SS,100.830,900,多,100.912,90747.000,-73.530
2024-06-05,15:30:00,511880.SS,100.838,900,多,100.912,90754.200,-66.330
2024-06-06,15:30:00,511880.SS,100.846,900,多,100.912,90761.400,-59.130
2024-06-07,15:30:00,511880.SS,100.861,900,多,100.912,90774.900,-45.630
2024-06-11,15:30:00,511880.SS,100.861,900,多,100.912,90774.900,-45.630
2024-06-12,15:30:00,511880.SS,100.863,900,多,100.912,90776.700,-43.830
2024-06-13,15:30:00,511880.SS,100.865,900,多,100.912,90778.500,-42.030
2024-06-14,15:30:00,511880.SS,100.870,900,多,100.912,90783.000,-37.530
2024-06-17,15:30:00,511880.SS,100.882,900,多,100.912,90793.800,-26.730
2024-06-18,15:30:00,511880.SS,100.886,900,多,100.912,90797.400,-23.130
2024-06-19,15:30:00,511880.SS,100.891,900,多,100.912,90801.900,-18.630
2024-06-20,15:30:00,511880.SS,100.896,900,多,100.912,90806.400,-14.130
2024-06-21,15:30:00,511880.SS,100.906,900,多,100.912,90815.400,-5.130
2024-06-24,15:30:00,511880.SS,100.913,900,多,100.912,90821.700,1.170
2024-06-25,15:30:00,511880.SS,100.913,900,多,100.912,90821.700,1.170
2024-06-26,15:30:00,511880.SS,100.916,900,多,100.912,90824.400,3.870
2024-06-27,15:30:00,511880.SS,100.925,900,多,100.912,90832.500,11.970
2024-06-28,15:30:00,511880.SS,100.933,900,多,100.912,90839.700,19.170
2024-07-01,15:30:00,511880.SS,100.947,900,多,100.912,90852.300,31.770
2024-07-02,15:30:00,511880.SS,100.959,900,多,100.912,90863.100,42.570
2024-07-03,15:30:00,511880.SS,100.954,900,多,100.912,90858.600,38.070
2024-07-04,15:30:00,511880.SS,100.963,900,多,100.912,90866.700,46.170
2024-07-05,15:30:00,511880.SS,100.969,900,多,100.912,90872.100,51.570
2024-07-08,15:30:00,511880.SS,100.972,900,多,100.912,90874.800,54.270
2024-07-09,15:30:00,511880.SS,100.967,900,多,100.912,90870.300,49.770
2024-07-10,15:30:00,511880.SS,100.973,900,多,100.912,90875.700,55.170
2024-07-11,15:30:00,511880.SS,100.974,900,多,100.912,90876.600,56.070
2024-07-12,15:30:00,511880.SS,100.986,900,多,100.912,90887.400,66.870
2024-07-15,15:30:00,511880.SS,100.996,900,多,100.912,90896.400,75.870
2024-07-16,15:30:00,511880.SS,100.995,900,多,100.912,90895.500,74.970
2024-07-17,15:30:00,511880.SS,100.999,900,多,100.912,90899.100,78.570
2024-07-18,15:30:00,511880.SS,101.000,900,多,100.912,90900.000,79.470
2024-07-19,15:30:00,511880.SS,101.017,800,多,100.909,80813.600,86.720
2024-07-19,15:30:00,510300.SS,3.600,1700,多,3.603,6120.000,-4.930
2024-07-19,15:30:00,510880.SS,3.150,1900,多,3.153,5985.000,-4.940
2024-07-19,15:30:00,512400.SS,1.002,2200,多,1.004,2204.400,-5.060
2024-07-19,15:30:00,512800.SS,1.303,2900,多,1.305,3778.700,-4.930
2024-07-19,15:30:00,518880.SS,5.425,200,多,5.450,1085.000,-5.000
2024-07-22,15:30:00,511880.SS,101.013,800,多,100.909,80810.400,83.520
2024-07-22,15:30:00,510300.SS,3.571,1700,多,3.603,6070.700,-54.230
2024-07-22,15:30:00,510880.SS,3.118,1900,多,3.153,5924.200,-65.740
2024-07-22,15:30:00,512400.SS,0.990,0,多,0.000,0.000,0.000
2024-07-22,15:30:00,512800.SS,1.282,2900,多,1.305,3717.800,-65.830
2024-07-22,15:30:00,518880.SS,5.421,200,多,5.450,1084.200,-5.800
2024-07-22,15:30:00,512480.SS,0.770,2700,多,0.772,2079.000,-5.130
2024-07-23,15:30:00,511880.SS,101.019,800,多,100.909,80815.200,88.320
2024-07-23,15:30:00,510300.SS,3.501,1700,多,3.603,5951.700,-173.230
2024-07-23,15:30:00,510880.SS,3.097,1900,多,3.153,5884.300,-105.640
2024-07-23,15:30:00,512800.SS,1.294,2900,多,1.305,3752.600,-31.030
2024-07-23,15:30:00,518880.SS,5.394,200,多,5.450,1078.800,-11.200
2024-07-23,15:30:00,512480.SS,0.733,2700,多,0.772,1979.100,-105.030
2024-07-24,15:30:00,511880.SS,101.022,900,多,100.930,90919.800,82.620
2024-07-24,15:30:00,510300.SS,3.479,0,多,0.000,0.000,0.000
2024-07-24,15:30:00,510880.SS,3.099,0,多,0.000,0.000,0.000
2024-07-24,15:30:00,512800.SS,1.295,0,多,0.000,0.000,0.000
2024-07-24,15:30:00,518880.SS,5.465,0,多,0.000,0.000,0.000
2024-07-24,15:30:00,512480.SS,0.722,0,多,0.000,0.000,0.000
2024-07-25,15:30:00,511880.SS,101.024,900,多,100.930,90921.600,84.420
2024-07-26,15:30:00,511880.SS,101.035,900,多,100.930,90931.500,94.320
2024-07-29,15:30:00,511880.SS,101.040,900,多,100.930,90936.000,98.820
2024-07-30,15:30:00,511880.SS,101.044,900,多,100.930,90939.600,102.420
2024-07-31,15:30:00,511880.SS,101.038,900,多,100.930,90934.200,97.020
2024-08-01,15:30:00,511880.SS,101.053,900,多,100.930,90947.700,110.520
2024-08-02,15:30:00,511880.SS,101.069,900,多,100.930,90962.100,124.920
2024-08-05,15:30:00,511880.SS,101.079,900,多,100.930,90971.100,133.920
2024-08-06,15:30:00,511880.SS,101.079,900,多,100.930,90971.100,133.920
2024-08-07,15:30:00,511880.SS,101.084,900,多,100.930,90975.600,138.420
2024-08-08,15:30:00,511880.SS,101.079,900,多,100.930,90971.100,133.920
2024-08-09,15:30:00,511880.SS,101.095,900,多,100.930,90985.500,148.320
2024-08-12,15:30:00,511880.SS,101.099,900,多,100.930,90989.100,151.920
2024-08-13,15:30:00,511880.SS,101.101,900,多,100.930,90990.900,153.720
2024-08-14,15:30:00,511880.SS,101.103,900,多,100.930,90992.700,155.520
2024-08-15,15:30:00,511880.SS,101.106,900,多,100.930,90995.400,158.220
2024-08-16,15:30:00,511880.SS,101.121,900,多,100.930,91008.900,171.720
2024-08-19,15:30:00,511880.SS,101.122,900,多,100.930,91009.800,172.620
2024-08-20,15:30:00,511880.SS,101.129,900,多,100.930,91016.100,178.920
2024-08-21,15:30:00,511880.SS,101.127,900,多,100.930,91014.300,177.120
2024-08-22,15:30:00,511880.SS,101.140,900,多,100.930,91026.000,188.820
2024-08-23,15:30:00,511880.SS,101.144,900,多,100.930,91029.600,192.420
2024-08-26,15:30:00,511880.SS,101.146,900,多,100.930,91031.400,194.220
2024-08-27,15:30:00,511880.SS,101.150,900,多,100.930,91035.000,197.820
2024-08-28,15:30:00,511880.SS,101.154,900,多,100.930,91038.600,201.420
2024-08-29,15:30:00,511880.SS,101.151,900,多,100.930,91035.900,198.720
2024-08-30,15:30:00,511880.SS,101.159,900,多,100.930,91043.100,205.920
2024-09-02,15:30:00,511880.SS,101.189,900,多,100.930,91070.100,232.920
2024-09-03,15:30:00,511880.SS,101.182,900,多,100.930,91063.800,226.620
2024-09-04,15:30:00,511880.SS,101.187,900,多,100.930,91068.300,231.120
2024-09-05,15:30:00,511880.SS,101.194,900,多,100.930,91074.600,237.420
2024-09-06,15:30:00,511880.SS,101.206,900,多,100.930,91085.400,248.220
2024-09-09,15:30:00,511880.SS,101.199,900,多,100.930,91079.100,241.920
2024-09-10,15:30:00,511880.SS,101.201,900,多,100.930,91080.900,243.720
2024-09-11,15:30:00,511880.SS,101.204,900,多,100.930,91083.600,246.420
2024-09-12,15:30:00,511880.SS,101.203,900,多,100.930,91082.700,245.520
2024-09-13,15:30:00,511880.SS,101.228,900,多,100.930,91105.200,268.020
2024-09-18,15:30:00,511880.SS,101.221,900,多,100.930,91098.900,261.720
2024-09-19,15:30:00,511880.SS,101.222,900,多,100.930,91099.800,262.620
2024-09-20,15:30:00,511880.SS,101.248,900,多,100.930,91123.200,286.020
2024-09-23,15:30:00,511880.SS,101.249,900,多,100.930,91124.100,286.920
2024-09-24,15:30:00,511880.SS,101.235,900,多,100.930,91111.500,274.320
2024-09-25,15:30:00,511880.SS,101.255,900,多,100.930,91129.500,292.320
2024-09-26,15:30:00,511880.SS,101.246,900,多,100.930,91121.400,284.220
2024-09-27,15:30:00,511880.SS,101.315,900,多,100.930,91183.500,346.320
2024-09-30,15:30:00,511880.SS,101.294,900,多,100.930,91164.600,327.420
2024-10-08,15:30:00,511880.SS,101.300,900,多,100.930,91170.000,332.820
2024-10-09,15:30:00,511880.SS,101.318,900,多,100.930,91186.200,349.020
2024-10-10,15:30:00,511880.SS,101.378,900,多,100.930,91240.200,403.020
2024-10-11,15:30:00,511880.SS,101.472,900,多,100.930,91324.800,487.620
2024-10-14,15:30:00,511880.SS,101.488,900,多,100.930,91339.200,502.020
2024-10-15,15:30:00,511880.SS,101.379,900,多,100.930,91241.100,403.920
2024-10-16,15:30:00,511880.SS,101.336,900,多,100.930,91202.400,365.220
2024-10-17,15:30:00,511880.SS,101.341,900,多,100.930,91206.900,369.720
2024-10-18,15:30:00,511880.SS,101.292,900,多,100.930,91162.800,325.620
2024-10-21,15:30:00,511880.SS,101.348,900,多,100.930,91213.200,376.020
2024-10-22,15:30:00,511880.SS,101.355,900,多,100.930,91219.500,382.320
2024-10-23,15:30:00,511880.SS,101.357,800,多,100.887,81085.600,376.000
2024-10-23,15:30:00,159819.SZ,0.878,4800,多,0.879,4214.400,-4.800
2024-10-23,15:30:00,512480.SS,0.976,4400,多,0.977,4294.400,-4.840
2024-10-23,15:30:00,512800.SS,1.422,3900,多,1.423,5545.800,-5.070
2024-10-23,15:30:00,512880.SS,1.140,3500,多,1.141,3990.000,-4.900
2024-10-23,15:30:00,518880.SS,6.056,100,多,6.106,605.600,-5.000
2024-10-24,15:30:00,511880.SS,101.373,800,多,100.887,81098.400,388.800
2024-10-24,15:30:00,159819.SZ,0.873,0,多,0.000,0.000,0.000
2024-10-24,15:30:00,512480.SS,0.978,4400,多,0.977,4303.200,3.960
2024-10-24,15:30:00,512800.SS,1.417,3900,多,1.423,5526.300,-24.570
2024-10-24,15:30:00,512880.SS,1.138,3500,多,1.141,3983.000,-11.900
2024-10-24,15:30:00,518880.SS,5.995,100,多,6.106,599.500,-11.100
2024-10-24,15:30:00,510300.SS,4.011,1000,多,4.016,4011.000,-5.000
2024-10-25,15:30:00,511880.SS,101.372,800,多,100.887,81097.600,388.000
2024-10-25,15:30:00,512480.SS,0.984,4400,多,0.977,4329.600,30.360
2024-10-25,15:30:00,512800.SS,1.411,3900,多,1.423,5502.900,-47.970
2024-10-25,15:30:00,512880.SS,1.147,3500,多,1.141,4014.500,19.600
2024-10-25,15:30:00,518880.SS,5.998,800,多,6.018,4798.400,-15.840
2024-10-25,15:30:00,510300.SS,4.040,0,多,0.000,0.000,0.000
2024-10-28,15:30:00,511880.SS,101.378,800,多,100.887,81102.400,392.800
2024-10-28,15:30:00,512480.SS,0.981,4400,多,0.977,4316.400,17.160
2024-10-28,15:30:00,512800.SS,1.398,3900,多,1.423,5452.200,-98.670
2024-10-28,15:30:00,512880.SS,1.149,3500,多,1.141,4021.500,26.600
2024-10-28,15:30:00,518880.SS,6.017,800,多,6.018,4813.600,-0.640
2024-10-29,15:30:00,511880.SS,101.379,800,多,100.887,81103.200,393.600
2024-10-29,15:30:00,512480.SS,0.973,4400,多,0.977,4281.200,-18.040
2024-10-29,15:30:00,512800.SS,1.397,3900,多,1.423,5448.300,-102.570
2024-10-29,15:30:00,512880.SS,1.136,3500,多,1.141,3976.000,-18.900
2024-10-29,15:30:00,518880.SS,6.068,800,多,6.018,4854.400,40.160
2024-10-30,15:30:00,511880.SS,101.385,800,多,100.887,81108.000,398.400
2024-10-30,15:30:00,512480.SS,0.963,4400,多,0.977,4237.200,-62.040
2024-10-30,15:30:00,512800.SS,1.381,3900,多,1.423,5385.900,-164.970
2024-10-30,15:30:00,512880.SS,1.133,3500,多,1.141,3965.500,-29.400
2024-10-30,15:30:00,518880.SS,6.140,800,多,6.018,4912.000,97.760
2024-10-31,15:30:00,511880.SS,101.394,800,多,100.887,81115.200,405.600
2024-10-31,15:30:00,512480.SS,0.986,4400,多,0.977,4338.400,39.160
2024-10-31,15:30:00,512800.SS,1.372,3900,多,1.423,5350.800,-200.070
2024-10-31,15:30:00,512880.SS,1.166,3500,多,1.141,4081.000,86.100
2024-10-31,15:30:00,518880.SS,6.103,800,多,6.018,4882.400,68.160
2024-11-01,15:30:00,511880.SS,101.410,800,多,100.887,81128.000,418.400
2024-11-01,15:30:00,512480.SS,0.943,4400,多,0.977,4149.200,-150.040
2024-11-01,15:30:00,512800.SS,1.391,3900,多,1.423,5424.900,-125.970
2024-11-01,15:30:00,512880.SS,1.153,3500,多,1.141,4035.500,40.600
2024-11-01,15:30:00,518880.SS,6.051,800,多,6.018,4840.800,26.560
2024-11-04,15:30:00,511880.SS,101.413,800,多,100.887,81130.400,420.800
2024-11-04,15:30:00,512480.SS,0.959,4400,多,0.977,4219.600,-79.640
2024-11-04,15:30:00,512800.SS,1.398,3900,多,1.423,5452.200,-98.670
2024-11-04,15:30:00,512880.SS,1.198,3500,多,1.141,4193.000,198.100
