日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2020-01-02,15:30:00,159915.SZ,1.765,6900,多,1.766,12178.500,-9.660
2020-01-02,15:30:00,510300.SS,4.149,4900,多,4.152,20330.100,-16.170
2020-01-02,15:30:00,512010.SS,1.895,7400,多,1.897,14023.000,-11.100
2020-01-02,15:30:00,512800.SS,1.152,16500,多,1.153,19008.000,-14.850
2020-01-02,15:30:00,518880.SS,3.370,6500,多,3.373,21905.000,-17.550
2020-01-03,15:30:00,159915.SZ,1.764,6900,多,1.766,12171.600,-16.560
2020-01-03,15:30:00,510300.SS,4.139,4900,多,4.152,20281.100,-65.170
2020-01-03,15:30:00,512010.SS,1.887,7900,多,1.897,14907.300,-75.050
2020-01-03,15:30:00,512800.SS,1.153,16500,多,1.153,19024.500,1.650
2020-01-03,15:30:00,518880.SS,3.422,6500,多,3.373,22243.000,320.450
2020-01-06,15:30:00,159915.SZ,1.788,6900,多,1.766,12337.200,149.040
2020-01-06,15:30:00,510300.SS,4.123,4900,多,4.152,20202.700,-143.570
2020-01-06,15:30:00,512010.SS,1.867,7900,多,1.897,14749.300,-233.050
2020-01-06,15:30:00,512800.SS,1.149,16500,多,1.153,18958.500,-64.350
2020-01-06,15:30:00,518880.SS,3.497,6500,多,3.373,22730.500,807.950
2020-01-07,15:30:00,159915.SZ,1.822,6900,多,1.766,12571.800,383.640
2020-01-07,15:30:00,510300.SS,4.155,4900,多,4.152,20359.500,13.230
2020-01-07,15:30:00,512010.SS,1.889,7900,多,1.897,14923.100,-59.250
2020-01-07,15:30:00,512800.SS,1.153,16500,多,1.153,19024.500,1.650
2020-01-07,15:30:00,518880.SS,3.466,6500,多,3.373,22529.000,606.450
2020-01-08,15:30:00,159915.SZ,1.792,6900,多,1.766,12364.800,176.640
2020-01-08,15:30:00,510300.SS,4.114,4500,多,4.157,18513.000,-192.600
2020-01-08,15:30:00,512010.SS,1.871,7900,多,1.897,14780.900,-201.450
2020-01-08,15:30:00,512800.SS,1.132,14200,多,1.157,16074.400,-350.740
2020-01-08,15:30:00,518880.SS,3.531,0,多,0.000,0.000,0.000
2020-01-08,15:30:00,511880.SS,100.176,200,多,100.256,20035.200,-16.020
2020-01-08,15:30:00,512100.SS,0.741,17400,多,0.742,12893.400,-10.440
2020-01-09,15:30:00,159915.SZ,1.839,6900,多,1.766,12689.100,500.940
2020-01-09,15:30:00,510300.SS,4.158,5000,多,4.158,20790.000,0.000
2020-01-09,15:30:00,512010.SS,1.919,9200,多,1.900,17654.800,172.040
2020-01-09,15:30:00,512800.SS,1.138,0,多,0.000,0.000,0.000
2020-01-09,15:30:00,511880.SS,100.181,100,多,100.411,10018.100,-23.040
2020-01-09,15:30:00,512100.SS,0.751,19800,多,0.743,14869.800,158.400
2020-01-09,15:30:00,518880.SS,3.408,6500,多,3.411,22152.000,-17.550
2020-01-10,15:30:00,159915.SZ,1.831,6900,多,1.766,12633.900,445.740
2020-01-10,15:30:00,510300.SS,4.157,4500,多,4.159,18706.500,-9.900
2020-01-10,15:30:00,512010.SS,1.930,8200,多,1.897,15826.000,268.960
2020-01-10,15:30:00,511880.SS,100.201,200,多,100.346,20040.200,-29.060
2020-01-10,15:30:00,512100.SS,0.750,19800,多,0.743,14850.000,138.600
2020-01-10,15:30:00,518880.SS,3.418,0,多,0.000,0.000,0.000
2020-01-10,15:30:00,510500.SS,5.932,2400,多,5.937,14236.800,-11.280
2020-01-13,15:30:00,159915.SZ,1.862,6900,多,1.766,12847.800,659.640
2020-01-13,15:30:00,510300.SS,4.202,4500,多,4.159,18909.000,192.600
2020-01-13,15:30:00,512010.SS,1.942,8200,多,1.897,15924.400,367.360
2020-01-13,15:30:00,511880.SS,100.209,200,多,100.346,20041.800,-27.460
2020-01-13,15:30:00,512100.SS,0.760,17400,多,0.741,13224.000,332.340
2020-01-13,15:30:00,510500.SS,6.031,0,多,0.000,0.000,0.000
2020-01-13,15:30:00,512800.SS,1.143,14200,多,1.144,16230.600,-12.780
2020-01-14,15:30:00,159915.SZ,1.850,6900,多,1.766,12765.000,576.840
2020-01-14,15:30:00,510300.SS,4.184,4500,多,4.159,18828.000,111.600
2020-01-14,15:30:00,512010.SS,1.924,8200,多,1.897,15776.800,219.760
2020-01-14,15:30:00,511880.SS,100.224,200,多,100.346,20044.800,-24.460
2020-01-14,15:30:00,512100.SS,0.758,17400,多,0.741,13189.200,297.540
2020-01-14,15:30:00,512800.SS,1.139,0,多,0.000,0.000,0.000
2020-01-14,15:30:00,510500.SS,6.005,2300,多,6.010,13811.500,-11.040
2020-01-15,15:30:00,159915.SZ,1.847,7500,多,1.774,13852.500,551.250
2020-01-15,15:30:00,510300.SS,4.152,4500,多,4.159,18684.000,-32.400
2020-01-15,15:30:00,512010.SS,1.932,9100,多,1.901,17581.200,280.280
2020-01-15,15:30:00,511880.SS,100.232,200,多,100.346,20046.400,-22.860
2020-01-15,15:30:00,512100.SS,0.757,20500,多,0.744,15518.500,274.700
2020-01-15,15:30:00,510500.SS,5.987,0,多,0.000,0.000,0.000
2020-01-15,15:30:00,512980.SS,0.922,9600,多,0.923,8851.200,-6.720
