日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2024-06-03,15:30:00,510880.SS,3.242,5600,多,3.247,18155.200,-25.760
2024-06-03,15:30:00,511880.SS,100.831,200,多,100.910,20166.200,-15.740
2024-06-03,15:30:00,512400.SS,1.044,8000,多,1.043,8352.000,9.600
2024-06-03,15:30:00,512800.SS,1.239,13400,多,1.241,16602.600,-26.800
2024-06-03,15:30:00,515220.SS,1.318,8800,多,1.316,11598.400,16.720
2024-06-03,15:30:00,518880.SS,5.296,3400,多,5.294,18006.400,6.120
2024-06-04,15:30:00,510880.SS,3.255,5600,多,3.247,18228.000,47.040
2024-06-04,15:30:00,511880.SS,100.830,200,多,100.910,20166.000,-15.940
2024-06-04,15:30:00,512400.SS,1.056,8000,多,1.043,8448.000,105.600
2024-06-04,15:30:00,512800.SS,1.247,13400,多,1.241,16709.800,80.400
2024-06-04,15:30:00,515220.SS,1.297,8800,多,1.316,11413.600,-168.080
2024-06-04,15:30:00,518880.SS,5.346,3400,多,5.294,18176.400,176.120
2024-06-05,15:30:00,510880.SS,3.217,5600,多,3.247,18015.200,-165.760
2024-06-05,15:30:00,511880.SS,100.838,200,多,100.910,20167.600,-14.340
2024-06-05,15:30:00,512400.SS,1.032,8000,多,1.043,8256.000,-86.400
2024-06-05,15:30:00,512800.SS,1.232,13400,多,1.241,16508.800,-120.600
2024-06-05,15:30:00,515220.SS,1.283,8800,多,1.316,11290.400,-291.280
2024-06-05,15:30:00,518880.SS,5.324,3400,多,5.294,18101.600,101.320
2024-06-06,15:30:00,510880.SS,3.234,5600,多,3.247,18110.400,-70.560
2024-06-06,15:30:00,511880.SS,100.846,200,多,100.910,20169.200,-12.740
2024-06-06,15:30:00,512400.SS,1.042,8000,多,1.043,8336.000,-6.400
2024-06-06,15:30:00,512800.SS,1.231,13400,多,1.241,16495.400,-134.000
2024-06-06,15:30:00,515220.SS,1.298,8800,多,1.316,11422.400,-159.280
2024-06-06,15:30:00,518880.SS,5.398,3400,多,5.294,18353.200,352.920
2024-06-07,15:30:00,510880.SS,3.261,6700,多,3.250,21848.700,75.710
2024-06-07,15:30:00,511880.SS,100.861,100,多,101.035,10086.100,-17.400
2024-06-07,15:30:00,512400.SS,1.044,8000,多,1.043,8352.000,9.600
2024-06-07,15:30:00,512800.SS,1.240,13400,多,1.241,16616.000,-13.400
2024-06-07,15:30:00,515220.SS,1.309,0,多,0.000,0.000,0.000
2024-06-07,15:30:00,518880.SS,5.399,3400,多,5.294,18356.600,356.320
2024-06-07,15:30:00,510300.SS,3.576,6100,多,3.580,21813.600,-23.790
2024-06-11,15:30:00,510880.SS,3.205,5700,多,3.259,18268.500,-308.370
2024-06-11,15:30:00,511880.SS,100.861,200,多,100.989,20172.200,-25.580
2024-06-11,15:30:00,512400.SS,1.021,8000,多,1.043,8168.000,-174.400
2024-06-11,15:30:00,512800.SS,1.220,13400,多,1.241,16348.000,-281.400
2024-06-11,15:30:00,518880.SS,5.237,3400,多,5.294,17805.800,-194.480
2024-06-11,15:30:00,510300.SS,3.551,100,多,5.602,355.100,-205.090
2024-06-11,15:30:00,515220.SS,1.289,8900,多,1.290,11472.100,-8.900
2024-06-12,15:30:00,510880.SS,3.246,5700,多,3.259,18502.200,-74.670
