ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2024-06-03,15:00:00,511880.SS,Âò,-,900.000,100.831,72.598
2024-07-19,15:00:00,511880.SS,Âô,-,100.000,101.017,8.081
2024-07-19,15:00:00,510300.SS,Âò,-,1700.000,3.600,5.000
2024-07-19,15:00:00,510880.SS,Âò,-,1900.000,3.150,5.000
2024-07-19,15:00:00,512400.SS,Âò,-,2200.000,1.002,5.000
2024-07-19,15:00:00,512800.SS,Âò,-,2900.000,1.303,5.000
2024-07-19,15:00:00,518880.SS,Âò,-,200.000,5.425,5.000
2024-07-22,15:00:00,512400.SS,Âô,-,2200.000,0.990,5.000
2024-07-22,15:00:00,512480.SS,Âò,-,2700.000,0.770,5.000
2024-07-24,15:00:00,510300.SS,Âô,-,1700.000,3.479,5.000
2024-07-24,15:00:00,512800.SS,Âô,-,2900.000,1.295,5.000
2024-07-24,15:00:00,512480.SS,Âô,-,2700.000,0.722,5.000
2024-07-24,15:00:00,518880.SS,Âô,-,200.000,5.465,5.000
2024-07-24,15:00:00,510880.SS,Âô,-,1900.000,3.099,5.000
2024-07-24,15:00:00,511880.SS,Âò,-,100.000,101.022,8.082
2024-10-23,15:00:00,511880.SS,Âô,-,100.000,101.357,8.109
2024-10-23,15:00:00,159819.SZ,Âò,-,4800.000,0.878,5.000
2024-10-23,15:00:00,512480.SS,Âò,-,4400.000,0.976,5.000
2024-10-23,15:00:00,512800.SS,Âò,-,3900.000,1.422,5.000
2024-10-23,15:00:00,512880.SS,Âò,-,3500.000,1.140,5.000
2024-10-23,15:00:00,518880.SS,Âò,-,100.000,6.056,5.000
2024-10-24,15:00:00,159819.SZ,Âô,-,4800.000,0.873,5.000
2024-10-24,15:00:00,510300.SS,Âò,-,1000.000,4.011,5.000
2024-10-25,15:00:00,510300.SS,Âô,-,1000.000,4.040,5.000
2024-10-25,15:00:00,518880.SS,Âò,-,700.000,5.998,5.000
2024-11-11,15:00:00,512800.SS,Âô,-,3900.000,1.387,5.000
2024-11-11,15:00:00,159819.SZ,Âò,-,4800.000,0.982,5.000
2024-11-11,15:00:00,512660.SS,Âò,-,600.000,1.217,5.000
2024-11-15,15:00:00,518880.SS,Âô,-,800.000,5.683,5.000
2024-11-15,15:00:00,512660.SS,Âò,-,3900.000,1.084,5.000
2024-11-15,15:00:00,512800.SS,Âò,-,200.000,1.384,5.000
2024-11-18,15:00:00,512660.SS,Âô,-,4500.000,1.062,5.000
2024-11-18,15:00:00,512800.SS,Âò,-,3400.000,1.410,5.000
2024-11-19,15:00:00,159819.SZ,Âô,-,4800.000,0.899,5.000
2024-11-19,15:00:00,512800.SS,Âò,-,700.000,1.405,5.000
2024-11-19,15:00:00,518880.SS,Âò,-,500.000,5.858,5.000
2024-11-19,15:00:00,588000.SS,Âò,-,300.000,1.052,5.000
