ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2022-06-01,15:00:00,511880.SS,Âò,-,900.000,100.900,72.648
2022-09-22,15:00:00,511880.SS,Âô,-,100.000,101.403,8.112
2022-09-22,15:00:00,512100.SS,Âò,-,3200.000,2.595,6.643
2022-09-22,15:00:00,510880.SS,Âò,-,2700.000,3.017,6.517
2022-09-22,15:00:00,515220.SS,Âò,-,1000.000,2.718,5.000
2022-09-26,15:00:00,512100.SS,Âô,-,700.000,2.512,5.000
2022-09-26,15:00:00,510880.SS,Âô,-,500.000,2.945,5.000
2022-09-26,15:00:00,515220.SS,Âò,-,1200.000,2.578,5.000
2022-10-12,15:00:00,510880.SS,Âô,-,100.000,2.990,5.000
2022-10-12,15:00:00,515220.SS,Âò,-,100.000,2.632,5.000
2022-10-25,15:00:00,510880.SS,Âô,-,2100.000,2.866,5.000
2022-10-25,15:00:00,512660.SS,Âò,-,5200.000,1.193,5.000
2022-10-26,15:00:00,512100.SS,Âô,-,100.000,2.600,5.000
2022-10-26,15:00:00,515220.SS,Âò,-,100.000,2.367,5.000
2022-11-01,15:00:00,515220.SS,Âô,-,2400.000,2.287,5.000
2022-11-01,15:00:00,512100.SS,Âò,-,700.000,2.584,5.000
2022-11-01,15:00:00,512660.SS,Âò,-,1600.000,1.200,5.000
2022-11-01,15:00:00,518880.SS,Âò,-,400.000,3.810,5.000
2022-11-02,15:00:00,512660.SS,Âò,-,100.000,1.196,5.000
2022-11-07,15:00:00,512100.SS,Âô,-,700.000,2.680,5.000
2022-11-07,15:00:00,512660.SS,Âô,-,1600.000,1.186,5.000
2022-11-07,15:00:00,515220.SS,Âò,-,1500.000,2.430,5.000
2022-11-14,15:00:00,512100.SS,Âô,-,500.000,2.634,5.000
2022-11-14,15:00:00,512660.SS,Âô,-,1800.000,1.149,5.000
2022-11-14,15:00:00,510880.SS,Âò,-,1200.000,2.910,5.000
2022-11-15,15:00:00,512660.SS,Âô,-,3500.000,1.169,5.000
2022-11-15,15:00:00,512100.SS,Âò,-,400.000,2.696,5.000
2022-11-15,15:00:00,510880.SS,Âò,-,900.000,2.920,5.000
2022-11-15,15:00:00,515220.SS,Âò,-,100.000,2.395,5.000
2022-11-16,15:00:00,512100.SS,Âô,-,500.000,2.676,5.000
2022-11-16,15:00:00,515220.SS,Âô,-,100.000,2.407,5.000
2022-11-16,15:00:00,512660.SS,Âò,-,1500.000,1.171,5.000
2022-11-18,15:00:00,515220.SS,Âô,-,1500.000,2.292,5.000
2022-11-18,15:00:00,510880.SS,Âô,-,2100.000,2.877,5.000
2022-11-18,15:00:00,512100.SS,Âò,-,1200.000,2.660,5.000
2022-11-18,15:00:00,512660.SS,Âò,-,5400.000,1.160,5.011
2022-11-25,15:00:00,512100.SS,Âô,-,600.000,2.604,5.000
2022-11-25,15:00:00,512660.SS,Âô,-,1400.000,1.137,5.000
2022-11-25,15:00:00,510880.SS,Âò,-,1000.000,2.966,5.000
2022-11-28,15:00:00,512660.SS,Âô,-,5500.000,1.136,5.000
2022-11-28,15:00:00,510880.SS,Âò,-,1000.000,2.948,5.000
2022-11-28,15:00:00,515220.SS,Âò,-,1400.000,2.358,5.000
2022-11-29,15:00:00,515220.SS,Âô,-,1400.000,2.399,5.000
2022-11-29,15:00:00,512100.SS,Âò,-,700.000,2.634,5.000
2022-11-29,15:00:00,510880.SS,Âò,-,500.000,3.034,5.000
2022-11-30,15:00:00,512100.SS,Âô,-,700.000,2.631,5.000
2022-11-30,15:00:00,510880.SS,Âô,-,400.000,3.014,5.000
2022-11-30,15:00:00,515220.SS,Âò,-,1300.000,2.430,5.000
2022-12-02,15:00:00,512100.SS,Âô,-,400.000,2.666,5.000
2022-12-02,15:00:00,510880.SS,Âô,-,100.000,2.972,5.000
2022-12-02,15:00:00,512660.SS,Âò,-,1200.000,1.133,5.000
2022-12-05,15:00:00,512660.SS,Âô,-,1200.000,1.137,5.000
2022-12-05,15:00:00,515220.SS,Âô,-,1300.000,2.415,5.000
2022-12-05,15:00:00,512100.SS,Âò,-,1000.000,2.679,5.000
2022-12-05,15:00:00,510880.SS,Âò,-,600.000,3.025,5.000
2022-12-06,15:00:00,512100.SS,Âô,-,900.000,2.676,5.000
2022-12-06,15:00:00,510880.SS,Âô,-,600.000,3.013,5.000
2022-12-06,15:00:00,512880.SS,Âò,-,4000.000,0.921,5.000
2022-12-06,15:00:00,515220.SS,Âò,-,200.000,2.412,5.000
2022-12-08,15:00:00,512880.SS,Âô,-,4000.000,0.910,5.000
2022-12-08,15:00:00,515220.SS,Âô,-,200.000,2.358,5.000
2022-12-08,15:00:00,512100.SS,Âò,-,200.000,2.662,5.000
2022-12-08,15:00:00,518880.SS,Âò,-,900.000,3.910,5.000
2022-12-08,15:00:00,512980.SS,Âò,-,100.000,0.609,5.000
2022-12-12,15:00:00,512100.SS,Âô,-,300.000,2.659,5.000
2022-12-12,15:00:00,512880.SS,Âò,-,900.000,0.896,5.000
2022-12-13,15:00:00,512880.SS,Âô,-,900.000,0.897,5.000
2022-12-13,15:00:00,512100.SS,Âò,-,300.000,2.639,5.000
2022-12-15,15:00:00,512100.SS,Âô,-,100.000,2.633,5.000
2022-12-15,15:00:00,159928.SZ,Âò,-,200.000,1.045,5.000
2022-12-15,15:00:00,512980.SS,Âò,-,100.000,0.599,5.000
2022-12-16,15:00:00,512980.SS,Âô,-,200.000,0.595,5.000
2022-12-16,15:00:00,159928.SZ,Âò,-,100.000,1.049,5.000
2022-12-19,15:00:00,512100.SS,Âô,-,2200.000,2.558,5.000
2022-12-19,15:00:00,159928.SZ,Âô,-,300.000,1.036,5.000
2022-12-19,15:00:00,510880.SS,Âô,-,2000.000,2.914,5.000
2022-12-19,15:00:00,518880.SS,Âô,-,1300.000,3.942,5.000
2022-12-19,15:00:00,511880.SS,Âò,-,100.000,101.746,8.140
2023-01-17,15:00:00,511880.SS,Âô,-,100.000,100.160,8.013
2023-01-17,15:00:00,512010.SS,Âò,-,7000.000,0.528,5.000
2023-01-17,15:00:00,512100.SS,Âò,-,2000.000,2.633,5.000
2023-01-17,15:00:00,159928.SZ,Âò,-,3300.000,1.107,5.000
2023-01-17,15:00:00,512800.SS,Âò,-,4700.000,1.112,5.000
2023-01-18,15:00:00,512010.SS,Âô,-,7000.000,0.523,5.000
2023-01-18,15:00:00,159928.SZ,Âô,-,100.000,1.097,5.000
